feature,coef,abs_coef
Name_Seniorsplus,0.022805498326941707,0.022805498326941707
State_SC_False,-0.022775173582627265,0.022775173582627265
Name_Araxine Wilkins Sawyer Foundation Donald H Rose,-0.022766694291041722,0.022766694291041722
City_Greene,-0.022766694291041722,0.022766694291041722
Name_Seventy-Five State Street,0.022712203959291192,0.022712203959291192
Name_Lee Academy,0.022671509140110322,0.022671509140110322
Name_Maine Humanities Council,0.02224087545533036,0.02224087545533036
Name_Childrens Nursery School,0.022240318241355816,0.022240318241355816
Name_Maine Historical Society,0.022234668635015272,0.022234668635015272
City_Saint Albans,0.022168552827958248,0.022168552827958248
Name_Skills Inc.,0.022168552827958248,0.022168552827958248
Name_Husson University,0.022010563487196173,0.022010563487196173
Name_First Congregational Church of Farmington,-0.022002892837198786,0.022002892837198786
State_FL_True,-0.021989809559491334,0.021989809559491334
City_Vero Beach,-0.021989809559491334,0.021989809559491334
Name_Cornelia Warren Community Assn Inc.,-0.021989809559491334,0.021989809559491334
Name_Harbor House Community Service Center,-0.021964106229148073,0.021964106229148073
Name_Sexual Assault Response Services of Southern Maine,-0.021954514217671008,0.021954514217671008
Name_Congregational Church of South Bridgton,-0.021946701134242182,0.021946701134242182
Name_Lincoln Loan Fund,0.021906958674773304,0.021906958674773304
City_Fayetteville,0.021906958674773304,0.021906958674773304
Name_Masonic Temple Assoc,0.02154649936527306,0.02154649936527306
Name_Hattie A & Fred C Lynam Trust 64,-0.021471318661764518,0.021471318661764518
City_Concord,-0.021471318661764518,0.021471318661764518
Name_Kennebec Valley Community Action Program,-0.021427522620929357,0.021427522620929357
State_CA_False,0.021382678816147187,0.021382678816147187
Name_Deborah Lincoln House,0.021231723620165517,0.021231723620165517
Name_Androscoggin Home Health Services Inc.,-0.02104850735862526,0.02104850735862526
Name_East Lebanon Vol Fire Department Inc.,-0.0209885482918423,0.0209885482918423
City_Lebanon,-0.0209885482918423,0.0209885482918423
Name_Southern Kennebec Child Development Corporation,-0.020954940198549144,0.020954940198549144
City_Farmingdale,-0.020954940198549144,0.020954940198549144
Class_Prefix_GR_False,0.02089631912277677,0.02089631912277677
City_Boothbay Hbr,-0.020888997378744743,0.020888997378744743
Name_Boothbay Harbor Memorial Library Association,-0.020888997378744743,0.020888997378744743
City_Waterville,0.020769477355940244,0.020769477355940244
Name_First Parish Cemetery Assoc -york Cemetery-,-0.02073341630271234,0.02073341630271234
City_Blue Hill,-0.02069276280301896,0.02069276280301896
Name_Camden Association for Handicapped Citizens,-0.020614490904245844,0.020614490904245844
Name_Androscoggin Valley Council of Governments,-0.02057540665979002,0.02057540665979002
Name_Plant Memorial Home,0.020501874762871197,0.020501874762871197
